ticker,name,category,subcategory,cycle_stage,lead_time_advantage_yrs,ownership_score,supply_response_score,constraint_controlled,physics_thesis,key_metrics,reasoning
KRC,Kilroy Realty,Other,West Coast Office REIT,mature,1.0,4,5,"Kilroy owns Class-A office and life-science real estate on the US West Coast, not power or AI-critical infrastructure.","Kilroy Realty is an office/life-science REIT with properties in Los Angeles, San Diego, San Francisco, and Seattle. It does not own data centers, generation assets, grid interconnects, or cooling infrastructure relevant to the AI buildout. Any AI exposure is indirect via tenants in tech hubs.",Office occupancy rate; life-science leasing demand; AFFO per share,"Ownership scores low because KRC controls office buildings, not any physical bottleneck in the AI compute chain — no power, cooling, or data-center assets. Supply response is moderate because commercial real estate development takes 2-3 years, but this is irrelevant to AI scaling and not a true physics arbitrage."
HUT,Hut 8,Pre-Connected Power,Bitcoin Miner HPC Conversion,early,5.0,7,7,"Hut 8 owns and operates ~1+ GW of energized, grid-connected power sites across North America originally built for Bitcoin mining, convertible to AI/HPC hosting.","Hut 8 controls scarce pre-connected power capacity that bypasses 5-7 year utility interconnection queues — the binding constraint for AI data center buildout. Its sites have existing substations, transformers, and energy contracts, making them directly redeployable for HPC tenants. The recent Vega site and partnerships demonstrate this conversion thesis is live, similar to CORZ/CoreWeave.",Energized MW capacity converted to HPC; HPC hosting contracts signed (term and $/MW); Power cost per MWh and PUE at AI-ready sites,"Hut 8 physically owns and operates grid-connected power sites — a genuine bottleneck asset — but faces real competition from CORZ, IREN, Riot, and other miners pivoting to AI, placing it in the 6-7 ownership band. Supply response is 5+ years for new greenfield interconnects but 1-2 years for competitors to convert existing mining sites, averaging to ~7."
WFBR,Whitefiber,Pre-Connected Power,AI HPC Data Centers,early,4.0,7,7,Whitefiber operates GPU-cloud and HPC data center sites with secured power capacity and grid interconnects for AI training workloads.,"Whitefiber (spun out of Bit Digital) owns and operates AI-focused data center sites with already-secured power and grid connections, plus GPU fleets leased to AI customers. In a market where new grid interconnects take 5-7 years, energized AI-ready sites are the binding constraint. They directly operate the physical infrastructure rather than designing or selling into it.",Contracted MW of power capacity; GPU fleet size and utilization; weighted-average customer contract length,"Ownership score of 7 reflects direct operation of physical power-connected data center sites, but with multiple competing neocloud/HPC hosts (CoreWeave, Applied Digital, Iris Energy, CORZ) and a relatively small footprint. Supply response is 7 because building new energized AI data centers takes 2-5 years from greenfield permitting through grid interconnection, but is not as constrained as uranium mining or transformer manufacturing."
PSIX,Power Solutions Intl,Power Generation,Natural Gas Gensets,middle,1.5,5,3,"Designs and manufactures natural gas and propane engines/power systems used in behind-the-meter gensets for data centers, oil & gas, and industrial backup power.","PSIX makes natural gas-fueled power systems that can be deployed behind-the-meter to bypass multi-year grid interconnection queues, directly serving the AI data center power crunch. However, PSIX is an equipment OEM, not an operator of generation assets — it sells engines/gensets rather than owning the scarce power capacity itself, and faces competition from Caterpillar, Cummins, Generac, and Kohler.",Backlog of data center / power gen orders; natural gas engine unit shipments; gross margin on power systems segment,"Ownership score of 5 because PSIX is an equipment vendor selling into the bottleneck (behind-the-meter gas power) rather than owning the physical generation asset, and it competes against much larger engine OEMs. Supply response of 3 because while engine manufacturing capacity is constrained near-term (backlogs stretching 12+ months industry-wide), competitors can ramp production within roughly a year, so this is not a true multi-year physical scarcity."
BTDR,Bitdeer Technologies,Pre-Connected Power,Bitcoin Miner / AI Hosting,early,4.0,7,7,"Owns and operates ~2.5+ GW of energized and pipeline data center power capacity across the US, Norway, Bhutan, and Canada, originally built for Bitcoin mining and convertible to HPC/AI hosting.","Bitdeer controls pre-connected, energized power sites — the exact scarce asset AI hyperscalers need to bypass 5-7 year grid interconnection queues. Like CORZ, its Bitcoin mining infrastructure is convertible to high-density AI hosting, and it has announced HPC/AI data center buildouts. Competition from other miners (CORZ, IREN, APLD, RIOT) prevents a top-tier ownership score, but the physical power-site control is genuine.",Energized MW capacity and pipeline GW; AI/HPC hosting contracts signed; capex per MW for retrofit to liquid-cooled AI,"Ownership 7: directly operates physical power-connected sites — a real bottleneck — but multiple miner peers control similar assets, so not top-tier. Supply response 7: replicating a multi-GW energized site portfolio takes 3-5+ years given grid queue and substation lead times, even with capital."
CLSK,CleanSpark,Pre-Connected Power,Bitcoin Mining Sites,middle,4.0,7,7,"Owns and operates ~800+ MW of energized, grid-connected Bitcoin mining sites primarily across the US Southeast (Georgia, Mississippi, Tennessee, Wyoming).","CleanSpark controls a large portfolio of already-energized substations and power purchase agreements that bypass the 5-7 year grid interconnection queue plaguing new AI data center buildouts. While currently dedicated to Bitcoin mining, these sites are convertible to AI/HPC hosting like peers Core Scientific and Iris Energy. The scarcity is the energized megawatt, not the ASICs sitting on it.",Energized MW capacity; HPC/AI hosting conversion announcements; cost per kWh under contract,"CleanSpark directly owns and operates energized power infrastructure (substations, PPAs, interconnects), which is the genuine physical bottleneck — pushing ownership into the 6-7 band. It scores 7 rather than 8-9 because several similar pre-connected miners (CORZ, IREN, RIOT, WULF) compete for the same conversion thesis. Supply response is 7 because building a new equivalent site requires 3-5 years for interconnection studies and substation construction even with capital."
BITF,Bitfarms,Pre-Connected Power,Bitcoin Miner Power Sites,early,5.0,7,6,"Operates ~660+ MW of energized, grid-connected power capacity across Bitcoin mining sites in North America, Paraguay, and Argentina, with expansion to ~1+ GW underway.","Bitfarms owns and operates already-energized power infrastructure at mining sites that bypass the 5-7 year US grid interconnection queue. As AI hyperscalers desperately hunt for shovel-ready megawatts, Bitcoin miners with pre-connected power become acquisition or HPC-conversion targets (see CoreWeave/Core Scientific deal). However, much of Bitfarms' capacity is in South America with hydro power, which is harder to repurpose for AI than its North American sites.",Energized MW capacity in North America; HPC/AI hosting contract announcements; Power cost per kWh and PUE at convertible sites,"Ownership score of 7 reflects direct operation of physically scarce pre-connected power infrastructure, but Bitfarms' geographic mix (heavy South America exposure) and smaller US footprint vs peers like CORZ/IREN limit its AI conversion optionality. Supply response of 6 reflects that replicating energized multi-hundred-MW sites in queue-constrained ERCOT/PJM takes 3-5+ years."
LBRT,Liberty Energy,Power Generation,Distributed Gas Power,early,2.0,5,4,"Owns and operates a fleet of natural gas-powered hydraulic fracturing equipment and, via Liberty Power Innovations, distributed natural gas power generation assets for off-grid/behind-the-meter applications including data centers.","Liberty Energy is primarily a frac services company but has pivoted into distributed natural gas power generation through Liberty Power Innovations, targeting data center and industrial off-grid power. This positions it as a potential bypass for the multi-year grid interconnection queue, similar to Bloom Energy's thesis but with combustion turbines/reciprocating engines fueled by cheap associated gas. However, power generation is not its primary business and the distributed gen market has multiple competitors (Caterpillar, Cummins, Solar Turbines, ProPetro).",LPI power generation MW deployed/contracted; data center customer announcements; segment revenue from power vs frac services,"Ownership score of 5 because Liberty is fundamentally an oilfield services company with a nascent power gen segment — it owns equipment that sells/leases into the bottleneck rather than controlling a scarce site or irreplaceable asset, and faces many gen-set competitors. Supply response of 4 because natural gas gen-sets and frac fleets can be manufactured and deployed in 12-24 months given supply chain availability, making this a moderately replicable offering."
PUMP,ProPetro Holding,Other,Oilfield Hydraulic Fracturing,mature,0.5,2,2,ProPetro operates hydraulic fracturing pressure pumping fleets serving oil & gas producers in the Permian Basin — no AI-relevant physical bottleneck.,"ProPetro is a pressure pumping / hydraulic fracturing services company for upstream oil & gas in the Permian. It does not own power generation, grid interconnects, cooling infrastructure, critical minerals, or any asset in the AI scaling bottleneck chain. Frac fleets are a commodity service with abundant competition and short replication time.",Active frac fleet count; Permian completions activity; Adjusted EBITDA per fleet,"Ownership score is 2 because PUMP provides oilfield services with no direct ownership of any AI-relevant physical bottleneck — it neither generates power nor controls scarce materials. Supply response is 2 because frac fleets and pressure pumping capacity are widely available and can be redeployed or added within months, making it a competitive commodity service market."
BW,Babcock & Wilcox,Nuclear Revival,Small Modular Reactors,early,6.0,5,7,"Designs and supplies nuclear steam generation equipment (including BWXT-heritage SMR designs) and industrial boilers/thermal systems, but does not own or operate generating assets.","Babcock & Wilcox is a legacy nuclear and thermal power equipment supplier positioned to benefit from the SMR and nuclear revival driven by AI data center power demand. However, BW is an OEM/services vendor — it sells into the bottleneck rather than owning generation capacity, fuel, or grid interconnects, which caps its physics arbitrage strength. Its value depends on order flow from utilities and hyperscalers, not on controlling a scarce asset itself.",Nuclear segment backlog and bookings; SMR design contract wins; thermal/power generation order intake from data center customers,"BW is an equipment supplier and service provider to the nuclear and thermal power industries — it does not own uranium, reactors, or interconnected sites, so ownership scores in the mid range (5). Supply response for nuclear steam systems and SMR-grade pressure vessels is constrained by licensed nuclear fabrication capacity and qualification timelines (multi-year), warranting a 7."
